,idserie,avgorig,stdorig,adforig,avgdiff1,stddiff1,adfdiff1,avglogdiff,stdlogdiff,adflogdiff,avgBCdiff,stdBCdiff,adfBCdiff,BClambda
0,0,1789.888888888889,631.9009728637651,2.0103208737050124e-09,46.56603773584906,658.4288477320916,3.1089510606351592e-15,0.04048353235267823,0.45686387915545146,1.96798821621047e-16,58.70265005402656,834.8377720888955,3.2336135499483847e-15,1.032058064987737
1,1,381.18518518518516,137.7605375513873,6.350751924282634e-07,6.773584905660377,109.35447666370926,4.525183712249789e-07,0.031191949168715247,0.32868840783293285,2.1121517946325538e-08,1.2068073869823233,16.886332345724153,1.3255275751871755e-07,0.6837592217517897
2,2,772.0370370370371,241.6386162236494,1.6079074370763433e-12,16.20754716981132,123.44418316848537,3.063683859412495e-16,0.02257902399832656,0.15176884293004744,1.2994583271595645e-14,0.6971507728204694,4.987219792008071,1.3796734802496886e-15,0.5237898369614177
3,3,118.05555555555556,43.0049164573793,0.029631039964332896,2.849056603773585,38.00863666818575,2.1811853197213715e-09,0.020981798283023583,0.31985590759063065,0.0016281402004127284,0.0879858692723501,1.2796968624752483,0.0016711012184166096,0.2940422974022587
4,4,1213.148148148148,545.0053485095151,0.9139280105493854,38.22641509433962,600.6279619999431,0.00011194248623412174,0.09399335390986799,0.8905711376382787,0.42134308207424176,25.56195649915577,391.53009839640265,0.00011709214155452572,0.9392966203023195
5,5,238.5,100.1555734289854,4.866136632489612e-09,7.7924528301886795,108.77922222705604,4.073096036099341e-07,0.05139649154889101,0.5005976099658757,5.3364833657457636e-06,5.674595015001812,78.02939566662927,3.974504416834999e-07,0.9398083292267364
6,6,502.6666666666667,193.10177704075198,0.33319566199345463,11.452830188679245,73.02921773463981,2.9854761136394954e-14,0.025766981764897074,0.1351855688185872,2.389896101954271e-13,1.7611741576426194,10.543205749793612,4.1261203569994675e-14,0.6955275973415538
7,7,70.51851851851852,25.687394761965727,0.00409401855620893,0.8490566037735849,15.037558295393639,1.2062885419166056e-05,0.015597708928008824,0.23107201825719442,0.006850961872773049,0.17310277722612555,2.802275466305728,0.00014064072851508163,0.6038270541430766
8,8,1308.4074074074074,541.9386161262491,1.9236964701421728e-17,38.62264150943396,672.1073091099814,0.0004968244634592714,0.11009996127907318,0.9149708227722279,0.0677336222684053,27.374320808940624,464.4740629706585,0.0005904256412294527,0.948001902570806
9,9,258.3888888888889,108.66554475676249,0.0010793942611622153,8.924528301886792,121.59953591281287,2.104293581029135e-09,0.07315908605016087,0.595690556325199,3.554847323668514e-12,5.982092633447865,79.28328727639416,2.4318500434433203e-09,0.9235923407903862
10,10,551.1666666666666,206.91595627926563,0.2058135636123189,10.39622641509434,72.85093066644794,1.9598368464036183e-05,0.022448386006108892,0.1356946090750793,2.2163297944628e-05,0.6076128321920533,3.8769046484718466,1.9817439326331675e-05,0.539699230352976
11,11,79.88888888888889,34.662749066389786,6.936413205124264e-10,1.679245283018868,23.879235145383433,0.0005842915116081094,0.02386666988897403,0.29937550760178727,5.985613192215982e-13,0.20232892773458294,2.6343077027507245,3.716338164780473e-13,0.5063209840662837
12,12,1199.9814814814815,522.3496590634775,7.082234505429847e-14,30.0188679245283,619.3448909804812,0.0006076096352004991,0.03097905466822717,1.1451016801037206,4.213525829517144e-06,23.132640065244537,478.36674817943555,0.0006082991890684885,0.962655813943705
13,13,241.2962962962963,91.11361032404861,0.6855985108720519,4.9245283018867925,88.29385949644234,8.042867136796182e-09,0.026156497379620582,0.46583058611254197,5.45108855758961e-10,3.5812785295308274,63.7872481102058,6.663670466874618e-09,0.9400161936086984
14,14,520.4814814814815,176.32395908087295,2.4154645488232123e-07,13.11320754716981,77.82264800520366,0.0012235882068068757,0.027984208313724602,0.14769196941670762,1.2811719015098525e-07,1.617851933931729,9.17575268878996,0.0014407958346353055,0.6629453357879672
15,15,78.46296296296296,29.26299202631135,2.6132286597079734e-10,1.679245283018868,23.897401441512788,0.0001410295267781199,0.021462786885241183,0.2987033648444129,5.4140019242086e-09,0.16904330412317842,2.3344549642915475,7.562106718991506e-08,0.476409811987826
16,16,803.5,314.02675929855974,2.6762316411886716e-13,21.09433962264151,362.6996399720913,1.1520591434489198e-15,0.05220260959550199,0.8629346124592788,3.689436552991455e-07,26.20388938785021,456.0644732659363,1.0765561269778159e-15,1.0345520041206868
17,17,169.35185185185185,64.51848928434086,0.006106470040993943,5.547169811320755,58.92257985287417,0.04819107787203605,0.045478424400682685,0.46929059050671823,1.5043085363717447e-05,6.735218725509387,71.74491825739902,0.048591560214665076,1.0386384687591521
18,18,357.8703703703704,131.7953023240117,1.8539690461309399e-07,9.09433962264151,57.90501791758293,1.7205404807512862e-08,0.028137691889242932,0.15012254008381348,9.831033237296307e-08,1.2052405941382194,7.198897088303491,2.5336929181571158e-08,0.6537435742289888
19,19,53.05555555555556,22.928565934276595,5.461733820758577e-06,1.679245283018868,11.409650970974479,0.001880231464642386,0.03453256132180851,0.22985208434498763,2.821659353571228e-05,0.20106078542349934,1.341595820637826,0.0022462166535586053,0.4620935546669793
20,20,163.09259259259258,94.71580659638806,2.193594106248458e-05,-0.16981132075471697,125.97225448472533,0.00712916906543553,,,0.0,,,0.0022462166535586053,0.4620935546669793
21,21,30.833333333333332,19.689017431233268,1.9122535329903825e-09,0.18867924528301888,26.47751385166366,0.004850169858027851,,,0.0,,,0.0022462166535586053,0.4620935546669793
22,22,0.0,0.0,,0.0,0.0,,,,0.0,,,0.0022462166535586053,0.4620935546669793
23,23,0.0,0.0,,0.0,0.0,,,,0.0,,,0.0022462166535586053,0.4620935546669793
24,24,177.22222222222223,128.75280171948603,0.00013378262128868084,-2.452830188679245,166.11402835557973,3.4414309841352083e-19,,,0.0,,,0.0022462166535586053,0.4620935546669793
25,25,34.44444444444444,25.774425069326394,0.000230340206439398,-0.4339622641509434,35.79106530963526,8.796231326628542e-21,,,0.0,,,0.0022462166535586053,0.4620935546669793
26,26,0.0,0.0,,0.0,0.0,,,,0.0,,,0.0022462166535586053,0.4620935546669793
27,27,0.0,0.0,,0.0,0.0,,,,0.0,,,0.0022462166535586053,0.4620935546669793
